frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
126,yolo_fasternet,1.509,38.053,0.257,40.068,7,0.6327,0.0,52.9
127,yolo_fasternet,1.548,38.543,0.242,40.591,6,0.665,0.0,51.5
128,yolo_fasternet,1.793,49.83,0.253,52.155,6,0.6527,0.0,52.4
129,yolo_fasternet,1.538,38.652,0.245,40.674,6,0.6641,0.0,50.0
130,yolo_fasternet,1.545,38.683,0.253,40.732,7,0.5195,0.0,52.9
131,yolo_fasternet,1.567,39.576,0.274,41.667,6,0.6242,0.0,51.4
132,yolo_fasternet,1.588,39.944,0.278,42.058,5,0.5606,0.0,50.0
133,yolo_fasternet,2.049,39.798,0.257,42.419,5,0.5987,0.0,52.9
134,yolo_fasternet,1.608,40.163,0.255,42.281,7,0.5065,0.0,51.4
135,yolo_fasternet,1.562,39.924,0.25,41.998,7,0.5938,0.0,50.0
136,yolo_fasternet,1.819,52.814,0.251,55.188,6,0.6935,0.0,51.1
137,yolo_fasternet,1.569,39.79,0.256,41.87,9,0.5637,0.0,50.0
138,yolo_fasternet,1.561,39.575,0.247,41.624,7,0.6366,0.0,51.5
139,yolo_fasternet,1.603,40.515,0.254,42.623,8,0.6121,0.0,52.8
140,yolo_fasternet,1.528,39.677,0.248,41.706,8,0.6276,0.0,51.5
141,yolo_fasternet,2.038,39.514,0.254,42.116,9,0.6019,0.0,51.4
142,yolo_fasternet,1.519,43.119,0.251,45.127,7,0.6604,0.0,55.6
143,yolo_fasternet,1.607,39.968,0.251,42.071,8,0.6777,0.0,51.4
144,yolo_fasternet,1.817,54.612,0.291,57.021,8,0.7195,0.0,52.2
145,yolo_fasternet,1.847,43.188,0.252,45.55,10,0.6436,0.0,51.4
146,yolo_fasternet,1.629,39.748,0.263,41.887,8,0.74,0.0,51.4
147,yolo_fasternet,1.56,39.9,0.258,41.957,8,0.7431,0.0,51.5
148,yolo_fasternet,1.587,39.74,0.256,41.824,8,0.7539,0.0,50.0
149,yolo_fasternet,1.862,49.351,0.248,51.742,9,0.6972,0.0,50.0
150,yolo_fasternet,1.559,38.424,0.245,40.47,7,0.8396,0.0,52.9
151,yolo_fasternet,2.226,40.799,0.251,43.581,8,0.7718,0.0,54.3
152,yolo_fasternet,1.826,54.138,0.292,56.539,7,0.7564,0.0,51.1
153,yolo_fasternet,1.593,38.419,0.248,40.506,6,0.8197,0.0,50.0
154,yolo_fasternet,1.539,38.697,0.247,40.713,7,0.8112,0.0,52.9
155,yolo_fasternet,1.775,46.625,0.253,48.908,7,0.8152,0.0,51.2
156,yolo_fasternet,1.565,38.557,0.251,40.611,7,0.7287,0.0,50.0
157,yolo_fasternet,2.058,40.277,0.249,42.895,7,0.8063,0.0,51.4
158,yolo_fasternet,1.828,46.664,0.25,49.011,7,0.8122,0.0,51.3
159,yolo_fasternet,2.073,39.999,0.255,42.628,7,0.7956,0.0,52.8
160,yolo_fasternet,2.031,39.885,0.255,42.485,7,0.7466,0.0,50.0
161,yolo_fasternet,1.543,40.2,0.253,42.237,6,0.8067,0.0,52.9
162,yolo_fasternet,1.594,39.95,0.256,42.063,7,0.8006,0.0,51.4
163,yolo_fasternet,1.562,41.062,0.269,43.142,7,0.8208,0.0,54.3
164,yolo_fasternet,1.846,49.154,0.254,51.526,8,0.7928,0.0,53.7
165,yolo_fasternet,2.086,44.726,0.392,47.533,8,0.8139,0.0,59.0
166,yolo_fasternet,1.847,50.788,0.275,53.193,9,0.73,0.0,51.2
167,yolo_fasternet,2.031,39.699,0.245,42.272,8,0.7738,0.0,55.9
168,yolo_fasternet,1.994,39.929,0.254,42.494,8,0.7708,0.0,50.0
169,yolo_fasternet,1.553,39.917,0.25,41.966,9,0.6571,0.0,54.3
170,yolo_fasternet,1.602,40.235,0.257,42.342,8,0.7198,0.0,50.0
171,yolo_fasternet,1.54,41.121,0.253,43.155,8,0.6932,0.0,51.4
172,yolo_fasternet,1.609,39.603,0.263,41.724,7,0.6695,0.0,51.5
173,yolo_fasternet,2.04,45.542,0.27,48.155,7,0.6814,0.0,57.5
174,yolo_fasternet,1.641,41.221,0.261,43.38,7,0.6902,0.0,50.0
175,yolo_fasternet,1.591,41.189,0.269,43.315,8,0.6272,0.0,51.4
176,yolo_fasternet,2.092,40.755,0.26,43.431,8,0.7049,0.0,50.0
177,yolo_fasternet,1.597,40.436,0.266,42.544,7,0.74,0.0,52.8
178,yolo_fasternet,1.582,39.574,0.254,41.654,8,0.7345,0.0,51.5
179,yolo_fasternet,1.582,39.982,0.248,42.05,8,0.7546,0.0,51.4
180,yolo_fasternet,1.546,39.38,0.259,41.448,8,0.7027,0.0,51.5
181,yolo_fasternet,2.053,39.94,0.249,42.541,7,0.7215,0.0,51.4
182,yolo_fasternet,1.56,39.762,0.256,41.841,7,0.7364,0.0,50.0
183,yolo_fasternet,1.556,40.037,0.249,42.078,7,0.7666,0.0,51.4
184,yolo_fasternet,2.041,40.704,0.258,43.316,7,0.7743,0.0,52.8
185,yolo_fasternet,1.619,41.575,0.258,43.706,10,0.6593,0.0,50.0
186,yolo_fasternet,1.608,41.168,0.274,43.312,9,0.6977,0.0,54.1
187,yolo_fasternet,1.605,40.43,0.252,42.534,8,0.7546,0.0,50.0
188,yolo_fasternet,1.594,42.643,0.261,44.743,8,0.7697,0.0,56.8
189,yolo_fasternet,2.083,40.375,0.259,43.014,8,0.7625,0.0,52.9
190,yolo_fasternet,1.58,39.943,0.256,42.027,9,0.7575,0.0,51.4
191,yolo_fasternet,1.67,41.068,0.251,43.228,9,0.7686,0.0,52.9
192,yolo_fasternet,2.051,40.075,0.26,42.698,9,0.7568,0.0,51.4
193,yolo_fasternet,1.576,41.174,0.262,43.261,9,0.7478,0.0,51.4
194,yolo_fasternet,1.613,40.866,0.262,42.99,8,0.8059,0.0,50.0
195,yolo_fasternet,1.639,41.392,0.262,43.545,7,0.8214,0.0,52.8
196,yolo_fasternet,1.587,44.035,0.28,46.163,9,0.701,0.0,56.8
197,yolo_fasternet,2.266,50.941,0.257,53.794,7,0.8547,0.0,65.9
198,yolo_fasternet,1.644,39.906,0.256,42.062,8,0.8087,0.0,51.5
199,yolo_fasternet,1.545,39.923,0.258,41.966,8,0.7388,0.0,51.4
200,yolo_fasternet,2.027,39.351,0.263,41.955,8,0.7908,0.0,50.0
201,yolo_fasternet,1.801,41.06,0.255,43.399,8,0.7481,0.0,51.4
202,yolo_fasternet,1.578,40.34,0.26,42.426,9,0.7042,0.0,51.4
203,yolo_fasternet,1.608,40.95,0.264,43.093,10,0.6732,0.0,52.8
204,yolo_fasternet,1.619,41.358,0.264,43.503,9,0.6914,0.0,51.4
205,yolo_fasternet,2.123,40.967,0.263,43.664,9,0.6627,0.0,51.4
206,yolo_fasternet,1.595,39.902,0.251,43.054,8,0.692,0.0,51.4
207,yolo_fasternet,1.763,41.147,0.258,43.42,8,0.6998,0.0,50.0
208,yolo_fasternet,2.095,41.379,0.259,44.058,7,0.7435,0.0,51.4
209,yolo_fasternet,1.661,41.342,0.262,43.528,7,0.7722,0.0,52.8
210,yolo_fasternet,1.623,42.465,0.261,44.607,6,0.8173,0.0,54.1
211,yolo_fasternet,1.634,40.494,0.27,42.643,6,0.8074,0.0,50.0
212,yolo_fasternet,1.55,39.944,0.256,41.994,5,0.9018,0.0,51.4
213,yolo_fasternet,2.057,40.339,0.262,42.96,6,0.8098,0.0,51.4
214,yolo_fasternet,1.536,41.232,0.264,43.276,7,0.7404,0.0,52.8
215,yolo_fasternet,1.568,40.309,0.256,42.403,8,0.7103,0.0,51.4
216,yolo_fasternet,1.853,47.449,0.255,49.852,8,0.6971,0.0,50.0
217,yolo_fasternet,1.563,39.766,0.256,41.822,8,0.7602,0.0,51.5
218,yolo_fasternet,1.56,39.494,0.266,41.573,8,0.7631,0.0,51.4
219,yolo_fasternet,1.574,40.481,0.251,42.547,8,0.815,0.0,52.9
220,yolo_fasternet,1.826,54.113,0.302,56.522,8,0.7755,0.0,51.1
221,yolo_fasternet,1.867,41.199,0.253,43.576,8,0.8181,0.0,51.4
222,yolo_fasternet,1.581,39.53,0.252,41.632,8,0.7794,0.0,51.4
223,yolo_fasternet,1.614,39.685,0.265,41.808,8,0.81,0.0,51.5
224,yolo_fasternet,2.05,40.06,0.249,42.659,8,0.8169,0.0,52.8
225,yolo_fasternet,1.592,39.82,0.257,41.925,8,0.8226,0.0,48.5
226,yolo_fasternet,1.59,39.628,0.248,41.733,8,0.8163,0.0,52.9
227,yolo_fasternet,1.577,40.47,0.26,42.551,9,0.7687,0.0,52.8
228,yolo_fasternet,1.544,39.849,0.25,41.883,9,0.7597,0.0,50.0
229,yolo_fasternet,1.559,40.109,0.273,42.201,8,0.8096,0.0,51.5
230,yolo_fasternet,1.544,39.853,0.248,41.894,8,0.7849,0.0,50.0
231,yolo_fasternet,1.535,40.989,0.256,43.037,8,0.7545,0.0,52.8
232,yolo_fasternet,2.044,39.895,0.254,42.512,8,0.7718,0.0,50.0
233,yolo_fasternet,1.608,41.718,0.265,43.834,8,0.7879,0.0,55.6
234,yolo_fasternet,1.569,39.757,0.253,41.831,8,0.7882,0.0,51.4
235,yolo_fasternet,1.57,39.957,0.25,42.032,8,0.7808,0.0,50.0
236,yolo_fasternet,1.54,40.014,0.265,42.063,8,0.7567,0.0,51.4
237,yolo_fasternet,1.538,40.191,0.261,42.231,8,0.7437,0.0,50.0
238,yolo_fasternet,1.639,42.0,0.259,44.153,8,0.7821,0.0,51.4
239,yolo_fasternet,1.624,41.418,0.263,43.562,9,0.7324,0.0,52.8
