frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
224,yolo26n,1.665,48.805,0.204,50.93,9,0.5699,0.0,52.4
225,yolo26n,1.388,48.436,0.204,50.257,9,0.5581,0.0,51.2
226,yolo26n,1.441,57.221,0.203,59.093,9,0.5745,0.0,52.1
227,yolo26n,1.342,48.544,0.216,50.309,9,0.6035,0.0,51.2
228,yolo26n,1.429,54.991,0.231,56.931,9,0.6047,0.0,63.0
229,yolo26n,2.013,49.756,0.202,52.307,10,0.5815,0.0,52.4
230,yolo26n,2.03,49.675,0.205,52.159,10,0.5671,0.0,53.5
231,yolo26n,1.302,49.522,0.245,51.305,9,0.5838,0.0,52.4
232,yolo26n,1.597,55.252,0.205,57.31,9,0.5779,0.0,50.0
233,yolo26n,1.603,48.036,0.205,50.093,9,0.5578,0.0,52.5
234,yolo26n,1.312,48.106,0.204,49.858,9,0.5526,0.0,52.4
235,yolo26n,1.367,49.206,0.204,50.987,9,0.5486,0.0,51.2
236,yolo26n,1.316,48.549,0.205,50.281,9,0.5539,0.0,51.2
237,yolo26n,1.645,49.416,0.215,51.533,9,0.5615,0.0,53.5
238,yolo26n,1.339,48.723,0.204,50.489,9,0.5586,0.0,50.0
239,yolo26n,1.341,48.384,0.204,50.14,10,0.5342,0.0,52.4
240,yolo26n,1.655,49.77,0.207,51.902,12,0.498,0.0,52.4
241,yolo26n,1.344,49.408,0.206,51.181,10,0.5451,0.0,51.2
242,yolo26n,1.313,50.206,0.206,51.94,10,0.549,0.0,53.5
243,yolo26n,1.332,48.734,0.211,50.507,10,0.5616,0.0,51.2
244,yolo26n,1.355,49.248,0.215,51.043,10,0.5427,0.0,52.5
245,yolo26n,1.648,48.612,0.23,50.746,10,0.5471,0.0,51.2
246,yolo26n,1.346,49.769,0.207,51.55,10,0.5541,0.0,53.5
247,yolo26n,1.337,52.955,0.218,54.725,10,0.5686,0.0,54.5
248,yolo26n,1.519,62.227,0.22,64.236,10,0.559,0.0,55.8
249,yolo26n,1.375,48.983,0.228,50.811,9,0.5863,0.0,52.4
250,yolo26n,1.412,49.316,0.204,51.157,9,0.5615,0.0,52.5
251,yolo26n,1.61,51.863,0.206,53.982,9,0.5799,0.0,53.5
252,yolo26n,1.331,49.395,0.213,51.173,9,0.5862,0.0,51.1
253,yolo26n,1.694,49.39,0.203,51.552,8,0.6098,0.0,51.2
254,yolo26n,1.415,48.619,0.234,50.482,9,0.5718,0.0,52.4
255,yolo26n,1.382,48.422,0.208,50.234,8,0.6188,0.0,51.2
256,yolo26n,1.879,48.926,0.202,51.261,7,0.6665,0.0,53.7
257,yolo26n,1.336,49.272,0.204,51.034,8,0.6267,0.0,52.4
258,yolo26n,1.319,49.087,0.242,50.879,7,0.6717,0.0,51.2
259,yolo26n,1.343,48.756,0.216,50.539,8,0.6582,0.0,51.2
260,yolo26n,1.379,49.325,0.216,51.151,8,0.6509,0.0,53.5
